itemName,category,primarySlot,weaponType,isTwoHanded,canEquipOffHand,baseAttack,attackPerLevel,baseAttackSpeed,attackSpeedPerLevel,onHitBonusDamage,onHitHPRecovery,onHitMPRecovery,baseArmor,armorPerLevel,craftDuration,req1_resource,req1_amount,req2_resource,req2_amount
Wooden Sword,Weapon,MainHand,Sword,false,false,10,2,1.2,0.05,0,0,0,0,0,10,Wood,5,,0
Iron Sword,Weapon,MainHand,Sword,false,false,20,4,1.2,0.05,0,0,0,0,0,25,Stone,5,,0
Steel Sword,Weapon,MainHand,Sword,false,false,35,6,1.2,0.05,0,0,0,0,0,60,Steel,5,,0
Rizean Steel Sword,Weapon,MainHand,Sword,false,false,55,9,1.3,0.06,0,0,0,0,0,120,RizeanSteel,5,,0
Wooden Axe,Weapon,MainHand,Axe,true,false,15,3,0.8,0.03,0,0,0,0,0,15,Wood,8,,0
Iron Axe,Weapon,MainHand,Axe,true,false,28,5,0.8,0.03,0,0,0,0,0,30,Stone,8,,0
Steel Axe,Weapon,MainHand,Axe,true,false,45,8,0.85,0.04,0,0,0,0,0,75,Steel,8,,0
Rizean Steel Axe,Weapon,MainHand,Axe,true,false,70,12,0.9,0.05,0,0,0,0,0,150,RizeanSteel,8,,0
Wooden Dagger,Weapon,MainHand,Dagger,false,true,7,1.5,1.8,0.08,0,0,0,0,0,8,Wood,3,,0
Iron Dagger,Weapon,MainHand,Dagger,false,true,14,3,1.8,0.08,0,0,0,0,0,20,Stone,3,,0
Steel Dagger,Weapon,MainHand,Dagger,false,true,24,5,1.9,0.09,0,0,0,0,0,50,Steel,3,,0
Rizean Steel Dagger,Weapon,MainHand,Dagger,false,true,38,7,2.0,0.1,0,0,0,0,0,100,RizeanSteel,3,,0
Wooden Mace,Weapon,MainHand,Mace,false,false,12,2.5,1.0,0.04,0,0,0,0,0,12,Wood,6,,0
Iron Mace,Weapon,MainHand,Mace,false,false,23,4.5,1.0,0.04,0,0,0,0,0,28,Stone,6,,0
Steel Mace,Weapon,MainHand,Mace,false,false,38,7,1.05,0.05,0,0,0,0,0,65,Steel,6,,0
Rizean Steel Mace,Weapon,MainHand,Mace,false,false,60,10,1.1,0.06,0,0,0,0,0,130,RizeanSteel,6,,0
Wooden Spear,Weapon,MainHand,Spear,true,false,13,2.5,1.1,0.04,0,0,0,0,0,12,Wood,7,,0
Iron Spear,Weapon,MainHand,Spear,true,false,25,4.5,1.1,0.04,0,0,0,0,0,28,Stone,7,,0
Steel Spear,Weapon,MainHand,Spear,true,false,40,7,1.15,0.05,0,0,0,0,0,65,Steel,7,,0
Rizean Steel Spear,Weapon,MainHand,Spear,true,false,62,10,1.2,0.06,0,0,0,0,0,130,RizeanSteel,7,,0
Wooden Shield,Shield,OffHand,Shield,false,false,0,0,0,0,0,0,0,8,1.5,12,Wood,6,,0
Iron Shield,Shield,OffHand,Shield,false,false,0,0,0,0,0,0,0,16,3,28,Stone,6,,0
Steel Shield,Shield,OffHand,Shield,false,false,0,0,0,0,0,0,0,28,5,65,Steel,6,,0
Rizean Steel Shield,Shield,OffHand,Shield,false,false,0,0,0,0,0,0,0,44,8,130,RizeanSteel,6,,0
Wooden Helmet,Armor,Helmet,,false,false,0,0,0,0,0,0,0,5,1,10,Wood,4,,0
Wooden Chest,Armor,Chest,,false,false,0,0,0,0,0,0,0,10,2,15,Wood,8,,0
Wooden Pants,Armor,Pants,,false,false,0,0,0,0,0,0,0,8,1.5,12,Wood,6,,0
Wooden Boots,Armor,Boots,,false,false,0,0,0,0,0,0,0,4,0.8,10,Wood,4,,0
Wooden Gloves,Armor,Gloves,,false,false,0,0,0,0,0,0,0,3,0.7,8,Wood,3,,0
Iron Helmet,Armor,Helmet,,false,false,0,0,0,0,0,0,0,10,2,22,Stone,4,,0
Iron Chest,Armor,Chest,,false,false,0,0,0,0,0,0,0,20,4,35,Stone,8,,0
Iron Pants,Armor,Pants,,false,false,0,0,0,0,0,0,0,16,3,28,Stone,6,,0
Iron Boots,Armor,Boots,,false,false,0,0,0,0,0,0,0,8,1.5,22,Stone,4,,0
Iron Gloves,Armor,Gloves,,false,false,0,0,0,0,0,0,0,6,1.2,20,Stone,3,,0
Steel Helmet,Armor,Helmet,,false,false,0,0,0,0,0,0,0,18,3.5,55,Steel,4,,0
Steel Chest,Armor,Chest,,false,false,0,0,0,0,0,0,0,35,6.5,80,Steel,8,,0
Steel Pants,Armor,Pants,,false,false,0,0,0,0,0,0,0,28,5,65,Steel,6,,0
Steel Boots,Armor,Boots,,false,false,0,0,0,0,0,0,0,14,2.5,55,Steel,4,,0
Steel Gloves,Armor,Gloves,,false,false,0,0,0,0,0,0,0,11,2,50,Steel,3,,0
Rizean Steel Helmet,Armor,Helmet,,false,false,0,0,0,0,0,0,0,28,5.5,110,RizeanSteel,4,,0
Rizean Steel Chest,Armor,Chest,,false,false,0,0,0,0,0,0,0,55,10,160,RizeanSteel,8,,0
Rizean Steel Pants,Armor,Pants,,false,false,0,0,0,0,0,0,0,44,8,130,RizeanSteel,6,,0
Rizean Steel Boots,Armor,Boots,,false,false,0,0,0,0,0,0,0,22,4,110,RizeanSteel,4,,0
Rizean Steel Gloves,Armor,Gloves,,false,false,0,0,0,0,0,0,0,17,3,100,RizeanSteel,3,,0
