itemName,category,primarySlot,weaponType,isTwoHanded,canEquipOffHand,baseAttack,attackPerLevel,baseAttackSpeed,attackSpeedPerLevel,onHitBonusDamage,onHitHPRecovery,onHitMPRecovery,baseArmor,armorPerLevel,craftDuration,req1_resource,req1_amount,req2_resource,req2_amount
Wooden Sword,Weapon,MainHand,Sword,FALSE,FALSE,10,2,1.2,0.05,0,0,0,0,0,10,Wood,200,,0
Iron Sword,Weapon,MainHand,Sword,FALSE,FALSE,20,4,1.2,0.05,0,0,0,0,0,25,Stone,300,,0
Steel Sword,Weapon,MainHand,Sword,FALSE,FALSE,35,6,1.2,0.05,0,0,0,0,0,60,Steel,500,,0
Rizean Steel Sword,Weapon,MainHand,Sword,FALSE,FALSE,55,9,1.3,0.06,0,0,0,0,0,120,RizeanSteel,1000,Steel,250
Wooden Axe,Weapon,MainHand,Axe,TRUE,FALSE,15,3,0.8,0.03,0,0,0,0,0,15,Wood,200,,0
Iron Axe,Weapon,MainHand,Axe,TRUE,FALSE,28,5,0.8,0.03,0,0,0,0,0,30,Stone,300,,0
Steel Axe,Weapon,MainHand,Axe,TRUE,FALSE,45,8,0.85,0.04,0,0,0,0,0,75,Steel,500,,0
Rizean Steel Axe,Weapon,MainHand,Axe,TRUE,FALSE,70,12,0.9,0.05,0,0,0,0,0,150,RizeanSteel,1000,Steel,250
Wooden Dagger,Weapon,MainHand,Dagger,FALSE,TRUE,7,1.5,1.8,0.08,0,0,0,0,0,8,Wood,200,,0
Iron Dagger,Weapon,MainHand,Dagger,FALSE,TRUE,14,3,1.8,0.08,0,0,0,0,0,20,Stone,300,,0
Steel Dagger,Weapon,MainHand,Dagger,FALSE,TRUE,24,5,1.9,0.09,0,0,0,0,0,50,Steel,500,,0
Rizean Steel Dagger,Weapon,MainHand,Dagger,FALSE,TRUE,38,7,2,0.1,0,0,0,0,0,100,RizeanSteel,1000,Steel,250
Wooden Mace,Weapon,MainHand,Mace,FALSE,FALSE,12,2.5,1,0.04,0,0,0,0,0,12,Wood,200,,0
Iron Mace,Weapon,MainHand,Mace,FALSE,FALSE,23,4.5,1,0.04,0,0,0,0,0,28,Stone,300,,0
Steel Mace,Weapon,MainHand,Mace,FALSE,FALSE,38,7,1.05,0.05,0,0,0,0,0,65,Steel,500,,0
Rizean Steel Mace,Weapon,MainHand,Mace,FALSE,FALSE,60,10,1.1,0.06,0,0,0,0,0,130,RizeanSteel,1000,Steel,250
Wooden Spear,Weapon,MainHand,Spear,TRUE,FALSE,13,2.5,1.1,0.04,0,0,0,0,0,12,Wood,200,,0
Iron Spear,Weapon,MainHand,Spear,TRUE,FALSE,25,4.5,1.1,0.04,0,0,0,0,0,28,Stone,300,,0
Steel Spear,Weapon,MainHand,Spear,TRUE,FALSE,40,7,1.15,0.05,0,0,0,0,0,65,Steel,500,,0
Rizean Steel Spear,Weapon,MainHand,Spear,TRUE,FALSE,62,10,1.2,0.06,0,0,0,0,0,130,RizeanSteel,1000,Steel,250
Wooden Shield,Shield,OffHand,Shield,FALSE,FALSE,0,0,0,0,0,0,0,8,1.5,12,Wood,200,,0
Iron Shield,Shield,OffHand,Shield,FALSE,FALSE,0,0,0,0,0,0,0,16,3,28,Stone,300,,0
Steel Shield,Shield,OffHand,Shield,FALSE,FALSE,0,0,0,0,0,0,0,28,5,65,Steel,500,,0
Rizean Steel Shield,Shield,OffHand,Shield,FALSE,FALSE,0,0,0,0,0,0,0,44,8,130,RizeanSteel,1000,Steel,250
Wooden Helmet,Armor,Helmet,,FALSE,FALSE,0,0,0,0,0,0,0,5,1,10,Wood,100,,0
Wooden Chest,Armor,Chest,,FALSE,FALSE,0,0,0,0,0,0,0,10,2,15,Wood,100,,0
Wooden Pants,Armor,Pants,,FALSE,FALSE,0,0,0,0,0,0,0,8,1.5,12,Wood,100,,0
Wooden Boots,Armor,Boots,,FALSE,FALSE,0,0,0,0,0,0,0,4,0.8,10,Wood,100,,0
Wooden Gloves,Armor,Gloves,,FALSE,FALSE,0,0,0,0,0,0,0,3,0.7,8,Wood,100,,0
Iron Helmet,Armor,Helmet,,FALSE,FALSE,0,0,0,0,0,0,0,10,2,22,Stone,200,,0
Iron Chest,Armor,Chest,,FALSE,FALSE,0,0,0,0,0,0,0,20,4,35,Stone,200,,0
Iron Pants,Armor,Pants,,FALSE,FALSE,0,0,0,0,0,0,0,16,3,28,Stone,200,,0
Iron Boots,Armor,Boots,,FALSE,FALSE,0,0,0,0,0,0,0,8,1.5,22,Stone,200,,0
Iron Gloves,Armor,Gloves,,FALSE,FALSE,0,0,0,0,0,0,0,6,1.2,20,Stone,200,,0
Steel Helmet,Armor,Helmet,,FALSE,FALSE,0,0,0,0,0,0,0,18,3.5,55,Steel,300,,0
Steel Chest,Armor,Chest,,FALSE,FALSE,0,0,0,0,0,0,0,35,6.5,80,Steel,300,,0
Steel Pants,Armor,Pants,,FALSE,FALSE,0,0,0,0,0,0,0,28,5,65,Steel,300,,0
Steel Boots,Armor,Boots,,FALSE,FALSE,0,0,0,0,0,0,0,14,2.5,55,Steel,300,,0
Steel Gloves,Armor,Gloves,,FALSE,FALSE,0,0,0,0,0,0,0,11,2,50,Steel,300,,0
Rizean Steel Helmet,Armor,Helmet,,FALSE,FALSE,0,0,0,0,0,0,0,28,5.5,110,RizeanSteel,500,Steel,150
Rizean Steel Chest,Armor,Chest,,FALSE,FALSE,0,0,0,0,0,0,0,55,10,160,RizeanSteel,500,Steel,150
Rizean Steel Pants,Armor,Pants,,FALSE,FALSE,0,0,0,0,0,0,0,44,8,130,RizeanSteel,500,Steel,150
Rizean Steel Boots,Armor,Boots,,FALSE,FALSE,0,0,0,0,0,0,0,22,4,110,RizeanSteel,500,Steel,150
Rizean Steel Gloves,Armor,Gloves,,FALSE,FALSE,0,0,0,0,0,0,0,17,3,100,RizeanSteel,500,Steel,150
